Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
383	900	1141	1	04/10/25 12:17:39 PM	
384	900	1151	1	04/10/25 12:17:41 PM	
385	900	1165	1	04/10/25 12:17:42 PM	
386	900	1149	1	04/10/25 12:17:43 PM	
387	900	1158	1	04/10/25 12:17:44 PM	
388	900	1169	1	04/10/25 12:17:45 PM	
389	900	1154	1	04/10/25 12:17:47 PM	
390	900	1141	1	04/10/25 12:17:48 PM	
391	900	1153	1	04/10/25 12:17:49 PM	
392	900	1160	1	04/10/25 12:17:50 PM	
393	900	1149	1	04/10/25 12:17:51 PM	
394	900	1160	1	04/10/25 12:17:53 PM	
395	900	1188	1	04/10/25 12:17:54 PM	
396	900	1171	1	04/10/25 12:17:55 PM	
397	900	1175	1	04/10/25 12:17:56 PM	
398	900	1149	1	04/10/25 12:17:57 PM	
399	900	1153	1	04/10/25 12:17:59 PM	
400	900	1154	1	04/10/25 12:18:00 PM	
401	900	1185	1	04/10/25 12:18:01 PM	
402	900	1164	1	04/10/25 12:18:02 PM	
403	900	1174	1	04/10/25 12:18:04 PM	
404	900	1154	1	04/10/25 12:18:05 PM	
405	900	1152	1	04/10/25 12:18:06 PM	
406	900	1153	1	04/10/25 12:18:07 PM	
407	900	1166	1	04/10/25 12:18:08 PM	
408	900	1141	1	04/10/25 12:18:09 PM	
409	900	1144	1	04/10/25 12:18:11 PM	
410	900	1170	1	04/10/25 12:18:12 PM	
411	900	1160	1	04/10/25 12:18:13 PM	
412	900	1168	1	04/10/25 12:18:14 PM	
413	900	1159	1	04/10/25 12:18:16 PM	
414	900	1139	1	04/10/25 12:18:17 PM	
415	900	1156	1	04/10/25 12:18:18 PM	
416	900	1181	1	04/10/25 12:18:19 PM	
417	900	1156	1	04/10/25 12:18:20 PM	
418	900	1181	1	04/10/25 12:18:22 PM	
419	900	1166	1	04/10/25 12:18:23 PM	
420	900	1143	1	04/10/25 12:18:24 PM	
421	900	1174	1	04/10/25 12:18:25 PM	
422	900	1161	1	04/10/25 12:18:26 PM	
423	900	1132	1	04/10/25 12:18:28 PM	
424	900	1154	1	04/10/25 12:18:29 PM	
425	900	1182	1	04/10/25 12:18:30 PM	
426	900	1174	1	04/10/25 12:18:31 PM	
427	900	1127	1	04/10/25 12:18:32 PM	
428	900	1161	1	04/10/25 12:18:34 PM	
429	900	1174	1	04/10/25 12:18:35 PM	
430	900	1139	1	04/10/25 12:18:36 PM	
431	900	1177	1	04/10/25 12:18:37 PM	
432	900	1183	1	04/10/25 12:18:38 PM	
433	900	1138	1	04/10/25 12:18:40 PM	
434	900	1181	1	04/10/25 12:18:41 PM	
435	900	1187	1	04/10/25 12:18:42 PM	
436	900	1185	1	04/10/25 12:18:43 PM	
437	900	1174	1	04/10/25 12:18:44 PM	
438	900	1201	1	04/10/25 12:18:46 PM	
439	900	1139	1	04/10/25 12:18:47 PM	
440	900	1149	1	04/10/25 12:18:48 PM	
441	900	1162	1	04/10/25 12:18:49 PM	
442	900	1155	1	04/10/25 12:18:50 PM	
443	900	1150	1	04/10/25 12:18:52 PM	
444	900	1165	1	04/10/25 12:18:53 PM	
445	900	1206	1	04/10/25 12:18:54 PM	
446	900	1127	1	04/10/25 12:18:55 PM	
447	900	1182	1	04/10/25 12:18:56 PM	
448	900	1172	1	04/10/25 12:18:58 PM	
449	900	1140	1	04/10/25 12:18:59 PM	
450	900	1170	1	04/10/25 12:19:00 PM	
451	900	1142	1	04/10/25 12:19:01 PM	
452	900	1155	1	04/10/25 12:19:02 PM	
453	900	1196	1	04/10/25 12:19:04 PM	
454	900	1167	1	04/10/25 12:19:05 PM	
455	900	1150	1	04/10/25 12:19:06 PM	
456	900	1185	1	04/10/25 12:19:07 PM	
457	900	1159	1	04/10/25 12:19:08 PM	
458	900	1123	1	04/10/25 12:19:10 PM	
459	900	1175	1	04/10/25 12:19:11 PM	
460	900	1200	1	04/10/25 12:19:12 PM	
461	900	1166	1	04/10/25 12:19:13 PM	
462	900	1158	1	04/10/25 12:19:14 PM	
463	900	1171	1	04/10/25 12:19:15 PM	
464	900	1165	1	04/10/25 12:19:17 PM	
465	900	1180	1	04/10/25 12:19:18 PM	
466	900	1166	1	04/10/25 12:19:19 PM	
467	900	1172	1	04/10/25 12:19:20 PM	
468	900	1143	1	04/10/25 12:19:22 PM	
469	900	1160	1	04/10/25 12:19:23 PM	
470	900	1172	1	04/10/25 12:19:24 PM	
471	900	1149	1	04/10/25 12:19:25 PM	
472	900	1144	1	04/10/25 12:19:26 PM	
473	900	1193	1	04/10/25 12:19:27 PM	
474	900	1156	1	04/10/25 12:19:29 PM	
475	900	1165	1	04/10/25 12:19:30 PM	
476	900	1182	1	04/10/25 12:19:31 PM	
477	900	1155	1	04/10/25 12:19:32 PM	
478	900	1164	1	04/10/25 12:19:33 PM	
479	900	1139	1	04/10/25 12:19:35 PM	
480	900	1172	1	04/10/25 12:19:36 PM	
481	900	1161	1	04/10/25 12:19:37 PM	
482	900	1161	1	04/10/25 12:19:38 PM	
483	900	1140	1	04/10/25 12:19:39 PM	
484	900	1154	1	04/10/25 12:19:41 PM	
485	900	1167	1	04/10/25 12:19:42 PM	
486	900	1144	1	04/10/25 12:19:43 PM	
487	900	1172	1	04/10/25 12:19:44 PM	
